Response,Breakdown type,Breakdown name,Estimate %,LCL %,UCL %,Age Standardised Estimate % [note 9],Age Standardised LCL % [note 9],Age Standardised UCL % [note 9],Unweighted Sample for Response Option,Weighted Sample for Response Option
Yes,All Adults,All Adults,38.5,38.2,38.8,39,38.7,39.3,"37,322","17,766,038"
No,All Adults,All Adults,61.3,61,61.7,60.8,60.5,61.1,"51,970","28,303,301"
Do not know,All Adults,All Adults,0.1,0.1,0.2,0.1,0.1,0.2,64,"58,927"
Prefer not to say,All Adults,All Adults,[low],0,[low],[low],0,[low],32,"14,173"
Yes,Age: 5-category,Aged 16 to 24,23.2,20.4,26,26.6,23.6,29.5,220,"1,344,230"
No,Age: 5-category,Aged 16 to 24,76.3,73.5,79.1,72.9,69.9,75.8,653,"4,427,075"
Do not know,Age: 5-category,Aged 16 to 24,0.5,0,1,0.6,0.1,1.1,5,"28,966"
Prefer not to say,Age: 5-category,Aged 16 to 24,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Age: 5-category,Aged 25 to 34,38.8,36.3,41.2,37.7,35.3,40.1,648,"2,950,342"
No,Age: 5-category,Aged 25 to 34,61.1,58.7,63.6,62.2,59.8,64.7,883,"4,652,998"
Do not know,Age: 5-category,Aged 25 to 34,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Age: 5-category,Aged 25 to 34,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Age: 5-category,Aged 35 to 49,41.1,40.2,42,41.2,40.3,42.1,"4,720","4,560,155"
No,Age: 5-category,Aged 35 to 49,58.7,57.8,59.7,58.6,57.7,59.6,"6,011","6,515,959"
Do not know,Age: 5-category,Aged 35 to 49,0.1,0.1,0.2,0.1,0.1,0.2,12,"13,471"
Prefer not to say,Age: 5-category,Aged 35 to 49,[low],0,0.1,[low],0,0.1,3,"2,832"
Yes,Age: 5-category,Aged 50 to 69,40.6,40.1,41,40.7,40.2,41.1,"18,978","5,690,151"
No,Age: 5-category,Aged 50 to 69,59.3,58.9,59.8,59.2,58.8,59.7,"26,971","8,312,156"
Do not know,Age: 5-category,Aged 50 to 69,0.1,0,0.1,0.1,0,0.1,29,"8,971"
Prefer not to say,Age: 5-category,Aged 50 to 69,[low],0,0.1,[low],0,0.1,17,"5,329"
Yes,Age: 5-category,Aged 70 and over,42.3,41.7,42.8,43.1,42.6,43.7,"12,756","3,221,160"
No,Age: 5-category,Aged 70 and over,57.7,57.1,58.2,56.8,56.2,57.3,"17,452","4,395,113"
Do not know,Age: 5-category,Aged 70 and over,0.1,0,0.1,0.1,0,0.1,17,"4,784"
Prefer not to say,Age: 5-category,Aged 70 and over,[low],0,0.1,[low],0,[low],11,"2,552"
Yes,Age: 8-category,Aged 16 to 24,23.2,20.4,26,26.6,23.6,29.5,220,"1,344,230"
No,Age: 8-category,Aged 16 to 24,76.3,73.5,79.1,72.9,69.9,75.8,653,"4,427,075"
Do not know,Age: 8-category,Aged 16 to 24,0.5,0,1,0.6,0.1,1.1,5,"28,966"
Prefer not to say,Age: 8-category,Aged 16 to 24,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Age: 8-category,Aged 25 to 34,38.8,36.3,41.2,37.7,35.3,40.1,648,"2,950,342"
No,Age: 8-category,Aged 25 to 34,61.1,58.7,63.6,62.2,59.8,64.7,883,"4,652,998"
Do not know,Age: 8-category,Aged 25 to 34,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Age: 8-category,Aged 25 to 34,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Age: 8-category,Aged 35 to 44,40.9,39.6,42.2,41.1,39.8,42.4,"2,518","2,761,934"
No,Age: 8-category,Aged 35 to 44,58.9,57.7,60.2,58.7,57.5,60,"3,250","3,979,556"
Do not know,Age: 8-category,Aged 35 to 44,0.1,0,0.2,0.1,0,0.2,6,"8,080"
Prefer not to say,Age: 8-category,Aged 35 to 44,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Age: 8-category,Aged 45 to 54,41.4,40.6,42.3,41.4,40.6,42.3,"5,411","3,024,828"
No,Age: 8-category,Aged 45 to 54,58.5,57.6,59.3,58.5,57.6,59.3,"7,096","4,266,798"
Do not know,Age: 8-category,Aged 45 to 54,0.1,0,0.2,0.1,0,0.2,11,"7,436"
Prefer not to say,Age: 8-category,Aged 45 to 54,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Age: 8-category,Aged 55 to 64,40.4,39.8,41.1,40.4,39.8,41.1,"9,714","2,923,721"
No,Age: 8-category,Aged 55 to 64,59.4,58.8,60.1,59.5,58.8,60.1,"13,728","4,297,011"
Do not know,Age: 8-category,Aged 55 to 64,0.1,0,0.1,0.1,0,0.1,13,"3,912"
Prefer not to say,Age: 8-category,Aged 55 to 64,[low],0,0.1,[low],0,0.1,10,"3,520"
Yes,Age: 8-category,Aged 65 to 74,40.6,40.1,41.2,40.6,40,41.2,"11,941","3,135,285"
No,Age: 8-category,Aged 65 to 74,59.3,58.7,59.8,59.3,58.7,59.8,"17,394","4,571,892"
Do not know,Age: 8-category,Aged 65 to 74,0.1,0,0.1,0.1,0,0.1,21,"5,739"
Prefer not to say,Age: 8-category,Aged 65 to 74,[low],0,0.1,[low],0,0.1,12,"2,937"
Yes,Age: 8-category,Aged 75 to 84,43.3,42.5,44.1,43.6,42.8,44.4,"6,315","1,512,813"
No,Age: 8-category,Aged 75 to 84,56.6,55.8,57.4,56.3,55.5,57.1,"8,307","1,976,083"
Do not know,Age: 8-category,Aged 75 to 84,0.1,0,0.1,0.1,0,0.1,6,"1,764"
Prefer not to say,Age: 8-category,Aged 75 to 84,[low],0,0.1,[low],0,0.1,6,"1,424"
Yes,Age: 8-category,Aged 85 and over,46.1,43.3,48.9,46.1,43.3,48.9,555,"112,885"
No,Age: 8-category,Aged 85 and over,53.8,51,56.6,53.8,51,56.6,659,"131,889"
Do not know,Age: 8-category,Aged 85 and over,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Age: 8-category,Aged 85 and over,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Sex,Female,45.2,44.7,45.6,45.9,45.4,46.3,"22,702","10,584,276"
No,Sex,Female,54.6,54.2,55.1,54,53.5,54.4,"27,369","12,810,882"
Do not know,Sex,Female,0.2,0.1,0.2,0.1,0.1,0.2,35,"37,958"
Prefer not to say,Sex,Female,[low],0,0.1,[low],0,[low],20,"8,766"
Yes,Sex,Male,31.6,31.1,32,31.6,31.1,32.1,"14,094","6,916,433"
No,Sex,Male,68.3,67.8,68.8,68.2,67.8,68.7,"23,852","14,957,856"
Do not know,Sex,Male,0.1,0.1,0.1,0.1,0.1,0.2,28,"20,607"
Prefer not to say,Sex,Male,[low],0,[low],[low],0,[low],11,"4,969"
Yes,Age-Sex Group,Female: Aged 16 to 24,28.5,24.5,32.5,33.3,29.1,37.5,145,"788,900"
No,Age-Sex Group,Female: Aged 16 to 24,70.7,66.6,74.7,66.1,61.8,70.3,333,"1,955,731"
Do not know,Age-Sex Group,Female: Aged 16 to 24,0.8,0,1.6,0.7,0,1.4,4,"23,046"
Prefer not to say,Age-Sex Group,Female: Aged 16 to 24,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Age-Sex Group,Female: Aged 25 to 34,49.2,46.1,52.3,48.4,45.4,51.5,501,"1,905,194"
No,Age-Sex Group,Female: Aged 25 to 34,50.6,47.6,53.7,51.4,48.4,54.5,518,"1,960,467"
Do not know,Age-Sex Group,Female: Aged 25 to 34,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Age-Sex Group,Female: Aged 25 to 34,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Age-Sex Group,Female: Aged 35 to 44,51,49.4,52.6,51,49.4,52.6,"1,909","1,762,754"
No,Age-Sex Group,Female: Aged 35 to 44,48.9,47.3,50.5,48.9,47.3,50.5,"1,829","1,690,560"
Do not know,Age-Sex Group,Female: Aged 35 to 44,0.1,0,0.2,0.1,0,0.2,3,"3,023"
Prefer not to say,Age-Sex Group,Female: Aged 35 to 44,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Age-Sex Group,Female: Aged 45 to 54,51,49.9,52.1,50.7,49.6,51.8,"3,913","1,920,117"
No,Age-Sex Group,Female: Aged 45 to 54,48.9,47.8,50,49.2,48.1,50.3,"3,886","1,843,476"
Do not know,Age-Sex Group,Female: Aged 45 to 54,0.1,0,0.2,0.1,0,0.2,7,"4,050"
Prefer not to say,Age-Sex Group,Female: Aged 45 to 54,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Age-Sex Group,Female: Aged 55 to 64,46.1,45.3,47,46.2,45.4,47.1,"6,350","1,696,914"
No,Age-Sex Group,Female: Aged 55 to 64,53.8,52.9,54.6,53.7,52.8,54.5,"7,494","1,978,401"
